,Category,Description,Quantity,Type (Consumable / Return),Vendor,Vendor Part #,Vendor/Datasheet Link
Received,Sensor,"Flex Sensor 4.5""",10,Consumable,SparkFun,SEN-08606,https://www.sparkfun.com/products/8606
Received,Sensor,"Load Cell - 10kg, Straight Bar",5,Consumable,SparkFun,SEN-13329,https://www.sparkfun.com/products/13329
Received,Sensor,SparkFun Load Cell Amplifier - HX711,5,Consumable,SparkFun,SEN-13879,https://www.sparkfun.com/products/13879
Received,Sensor,SparkFun Capacitive Touch Breakout,10,Consumable,SparkFun,SEN-12041,https://www.sparkfun.com/products/12041
Received,Sensor,SparkFun RGB and Gesture Sensor,5,Consumable,SparkFun,SEN-12787,https://www.sparkfun.com/products/12787
Received,Sensor,Ultrasonic Range Finder,5,Consumable,SparkFun,SEN-08502,https://www.sparkfun.com/products/8502
Received,User Interface,Tactile Button switch (6mm) x 20 pack,5,Consumable,Adafruit,367,https://www.adafruit.com/product/367
Received,User Interface,Red 621nm LED Indication - Discrete 2.1V Radial,100,Consumable,Digi-Key,C5SMF-RJF-CT0W0BB1-ND,http://www.digikey.com/product-detail/en/cree-inc/C5SMF-RJF-CT0W0BB1/C5SMF-RJF-CT0W0BB1-ND/4793808
Received,User Interface,Green LED Indication - Discrete 2.2V Radial,100,Consumable,Digi-Key,67-1098-ND,http://www.digikey.com/product-detail/en/lumex-opto-components-inc/SSL-LX5093GD/67-1098-ND/270896
Received,User Interface,RGB LED - Common Cathode,30,Consumable,Digi-Key,754-1492-ND,http://www.digikey.com/product-detail/en/kingbright/WP154A4SUREQBFZGW/754-1492-ND/2261457
Received,User Interface,Slide Switch SPDT Through Hole,50,Consumable,Digi-Key,EG1903-ND,http://www.digikey.com/product-detail/en/EG1218/EG1903-ND/101726?WT.z_cid=ref_octopart_dkc_buynow&site=us
Received,User Interface,Vibration Motor,10,Consumable,Pololu ,2265,https://www.pololu.com/product/2265
Received,User Interface,Force Sense Resistor Pad,5,Consumable,Pololu ,1696,https://www.pololu.com/product/1696
Received,User Interface,Force-Sensing Linear Potentiometer,2,Consumable,Pololu ,2730,https://www.pololu.com/product/2730
Received,Wireless,Arduino Bluetooth Wireless Serial Port Module,15,Consumable,Amazon,B009DZQ4MG,https://www.amazon.com/SenMod-Wireless-Bluetooth-Receiver-Transceiver/dp/B01JYNHSRG/ref=sr_1_2?ie=UTF8&qid=1483483524&sr=8-2&keywords=Arduino+Bluetooth+Wireless+Serial+Port+Module
Received,Wireless,WiFi Module - ESP8266,20,Consumable,SparkFun,WRL-13678,https://www.sparkfun.com/products/13678
